C:\Users\JPL\Desktop\DATA\Alex S\LMRO_Cycle_12_01-v2_C05.mpr
Re(Z)/Ohm	-Im(Z)/Ohm
2.08528	0.597743
2.27776	0.770923
2.40224	0.939121
2.52288	1.11891
2.6584	1.31909
2.80319	1.54837
2.97054	1.81807
3.16409	2.13147
3.41262	2.50744
3.74835	2.93387
4.16041	3.42016
4.69044	3.94387
5.36775	4.47593
6.20432	4.97774
7.19211	5.38626
8.25157	5.65064
9.42019	5.7487
10.5432	5.67642
11.5816	5.48083
12.5301	5.17232
13.3786	4.84143
14.1272	4.471
14.8018	4.09873
15.3747	3.74089
15.8942	3.4041
16.3384	3.04232
16.7052	2.7438
17.0534	2.44624
17.306	2.18817
17.5338	1.97117
17.7122	1.78129
17.8654	1.68395
18.022	1.57278
18.1412	1.52337
18.2407	1.57075
18.36	1.59735
18.4531	1.74992
18.5717	1.954
18.7287	2.22857
18.9158	2.58736
19.192	3.03689
19.54	3.54958
20.0027	4.17055
20.5899	4.8055
21.3647	5.5173
22.3335	6.18696
23.5174	6.77837
24.761	7.35424
26.279	7.65063
27.805	7.84206
29.3148	7.72598
30.7741	7.4534
32.0453	7.02165
33.107	6.48875
33.9848	5.97085
34.7069	5.50114
35.2858	5.18072
35.7236	4.97924
36.1062	4.89248
36.5279	4.96876
36.9511	5.2448
37.3255	5.67245
37.6773	6.19113
38.2003	6.77595
38.8588	7.58426
39.672	8.59368
40.4276	9.64094
