C:\Users\JPL\Desktop\DATA\Alex S\LMRO_Cycle_12_02_BOTSOC_C05.mpr
Re(Z)/Ohm	-Im(Z)/Ohm
2.35723	1.38009
2.54872	1.75872
2.75654	2.16758
2.98608	2.6325
3.25785	3.15678
3.62883	3.7463
4.01497	4.43781
4.48829	5.22929
5.05274	6.14378
5.72839	7.19329
6.5607	8.40682
7.55912	9.76521
8.78925	11.289
10.2771	13.0057
12.0944	14.8922
14.2416	16.8453
16.8055	18.9818
19.8049	21.12
23.1149	23.1722
26.9694	25.3406
31.2507	27.3331
35.9277	29.2105
41.0282	30.8646
46.5986	32.1149
52.44	32.9412
58.5174	33.1502
64.7434	32.6828
70.4415	31.6237
75.9687	30.0907
81.0024	27.9742
85.3046	25.9529
89.0164	23.5843
92.05	21.4688
94.7148	19.6739
96.8092	17.8938
98.7588	16.6788
100.492	15.7381
102.096	15.1813
103.573	15.0328
105.234	15.0168
106.738	15.5704
108.541	16.2525
110.353	17.0939
112.57	18.2597
114.777	19.6403
117.279	21.3667
120.178	23.1827
122.645	25.3245
126.138	27.9249
129.16	31.1189
132.972	34.1616
137.65	38.5675
142.107	43.781
147.559	48.8849
154.684	55.2513
163.412	62.6455
172.777	70.1343
185.182	77.6127
199.985	84.2867
216.506	90.8906
233.617	95.1682
252.305	97.0582
271.588	96.5571
